product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
PeC301,"Boroplus Moisturizing Lotion Advanced Winter, 100 ml",,65,,,,Personal Care,Skin Care,Skin Lotion,"Boroplus Moisturizing Lotion Advanced Winter, 100 ml",,,P301.jpg,,Boroplus,1
PeC302,"Lacto Calamine Lotion Oil Control, 60 ml",,90,,,,Personal Care,Skin Care,Skin Lotion,"Lacto Calamine Lotion Oil Control, 60 ml",,,P302.jpg,,Lacto,1
PeC303,"Lacto Calamine Lotion Hydration, 60 ml",,101,,,,Personal Care,Skin Care,Skin Lotion,"Lacto Calamine Lotion Hydration, 60 ml",,,P303.jpg,,Lacto,1
PeC304,Nivea Body Milk 250 ml,,200,,,,Personal Care,Skin Care,Skin Lotion,Nivea Body Milk 250 ml,,,P304.jpg,,Nivea,1
PeC305,"Vaseline Body Lotion Total Moisture, 100 ml",,65,,,,Personal Care,Skin Care,Skin Lotion,"Vaseline Body Lotion Total Moisture, 100 ml",,,P305.jpg,,Vaseline,1
PeC306,"Vaseline Body Lotion Healthy White, 300 ml",,230,,,,Personal Care,Skin Care,Skin Lotion,"Vaseline Body Lotion Healthy White, 300 ml",,,P306.jpg,,Vaseline,1
PeC307,"Nivea Body Lotion Whitening, 250 ml",,210,,,,Personal Care,Skin Care,Skin Lotion,"Nivea Body Lotion Whitening, 250 ml",,,P307.jpg,,Nivea,1
PeC308,"Lacto Calamine Lotion Oil Control, 30 ml",,55,,,,Personal Care,Skin Care,Skin Lotion,"Lacto Calamine Lotion Oil Control, 30 ml",,,P308.jpg,,Lacto,1
PeC309,"Dermicool Prickly Heat Powder Lavender, 150 g",,74,,,,Personal Care,Skin Care,Sun Care,"Dermicool Prickly Heat Powder Lavender, 150 g",,,P309.jpg,,Dermicool,1
PeC310,"Dermicool Prickly Heat Powder Sandal, 150 g",,74,,,,Personal Care,Skin Care,Sun Care,"Dermicool Prickly Heat Powder Sandal, 150 g",,,P310.jpg,,Dermicool,1
PeC311,"Dermicool Prickly Heat Powder Regular, 150 g",,72,,,,Personal Care,Skin Care,Sun Care,"Dermicool Prickly Heat Powder Regular, 150 g",,,P311.jpg,,Dermicool,1
PeC312,"Axe Denim Talcum Cologne, 100 g",,60,,,,Personal Care,Skin Care,Sun Care,"Axe Denim Talcum Cologne, 100 g",,,P312.jpg,,Axe,1
PeC313,"Ponds Talcum Dream Flower Fragrant, Pack of 30 g X 12 U",,120,,,,Personal Care,Skin Care,Sun Care,"Ponds Talcum Dream Flower Fragrant, Pack of 30 g X 12 U",,,P313.jpg,,Ponds,1
PeC314,"Wild Stone Talcum Ultra Sensual, 100 g",,55,,,,Personal Care,Skin Care,Sun Care,"Wild Stone Talcum Ultra Sensual, 100 g",,,P314.jpg,,Wild Stone,1
PeC315,"Dermicool Prickly Heat Powder Regular, 90 g",,50,,,,Personal Care,Skin Care,Sun Care,"Dermicool Prickly Heat Powder Regular, 90 g",,,P315.jpg,,Dermicool,1
PeC316,"Boroplus Prickly Heat Powder Ice Cool, 150 g",,75,,,,Personal Care,Skin Care,Sun Care,"Boroplus Prickly Heat Powder Ice Cool, 150 g",,,P316.jpg,,Boroplus,1
PeC317,"Cinthol Talcum Lime Fresh, 100 g",,45,,,,Personal Care,Skin Care,Sun Care,"Cinthol Talcum Lime Fresh, 100 g",,,P317.jpg,,Cinthol,1
PeC318,"Yardley Talcum Gold, 250 g",,110,,,,Personal Care,Skin Care,Sun Care,"Yardley Talcum Gold, 250 g",,,P318.jpg,,Yardley,1
PeC319,"Yardley Talcum English Lavendar,100 g",,85,,,,Personal Care,Skin Care,Sun Care,"Yardley Talcum English Lavendar,100 g",,,P319.jpg,,Yardley,1
PeC320,Spinz Talcum Jar Of 25 U X 400 g,,135,,,,Personal Care,Skin Care,Sun Care,Spinz Talcum Jar Of 25 U X 20 g,,,P320.jpg,,Spinz,1
