product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,product_description,Brand,status
Bv297,Bru Instant Coffee Pack Of 144 X 2.2 g,,288,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee Pack Of 144 X 2.2 g,,,bv297.jpg,,Bru,1
Bv298,Bru Instant Coffee Pack Of 36 X 9.5 g,,360,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee Pack Of 36 X 9.5 g,,,bv298.jpg,,Bru,1
Bv299,"Bru Gold Coffee Poly Pack, 50 g",,107,,,,Beverages,Hot Drinks,Coffee,"Bru Gold Coffee Poly Pack, 50 g",,,bv299.jpg,,Bru,1
Bv300,Bru Gold Coffee Jar 25 g,,62,,,,Beverages,Hot Drinks,Coffee,Bru Gold Coffee Jar 25 g,,,bv300.jpg,,Bru,1
Bv301,Bru Instant Coffee 100 g,,174,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee 100 g,,,bv301.jpg,,Bru,1
Bv302,Bru Gold Coffee Pack of 60 U X 4 g,,300,,,,Beverages,Hot Drinks,Coffee,Bru Gold Coffee Pack of 60 U X 4 g,,,bv302.jpg,,Bru,1
Bv303,Bru Gold Coffee 50 g,,120,,,,Beverages,Hot Drinks,Coffee,Bru Gold Coffee 50 g,,,bv303.jpg,,Bru,1
Bv304,Nescafe Classic Coffee 100 g Jar,,230,,,,Beverages,Hot Drinks,Coffee,Nescafe Classic Coffee 100 g Jar,,,bv304.jpg,,Nescafe,1
Bv305,Nescafe Classic Coffee 50 g Sachet,,110,,,,Beverages,Hot Drinks,Coffee,Nescafe Classic Coffee 50 g Sachet,,,bv305.jpg,,Nescafe,1
Bv306,Nescafe Classic Coffee 50 g Jar,,125,,,,Beverages,Hot Drinks,Coffee,Nescafe Classic Coffee 50 g Jar,,,bv306.jpg,,Nescafe,1
Bv307,Nescafe Classic Coffee 25 g Jar,,65,,,,Beverages,Hot Drinks,Coffee,Nescafe Classic Coffee 25 g Jar,,,bv307.jpg,,Nescafe,1
Bv308,Nescafe Classic Coffee 200 g,,415,,,,Beverages,Hot Drinks,Coffee,Nescafe Classic Coffee 200 g,,,bv308.jpg,,Nescafe,1
Bv309,"Nestea Iced Tea Lemon, 400 g",,130,,,,Beverages,Hot Drinks,Coffee,"Nestea Iced Tea Lemon, 400 g",,,bv309.jpg,,Nescafe,1
Bv310,Bru Roast & Ground Coffee 500 g,,165,,,,Beverages,Hot Drinks,Coffee,Bru Roast & Ground Coffee 500 g,,,bv310.jpg,,Bru,1
Bv311,Bru Instant Coffee 200 g,,325,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee 200 g,,,bv311.jpg,,Bru,1
Bv312,Bru Instant Coffee 1 kg,,650,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee 1 kg,,,bv312.jpg,,Bru,1
Bv313,"Nescafe Sunrise Coffee Sachet, 8.5 g",,10,,,,Beverages,Hot Drinks,Coffee,"Nescafe Sunrise Coffee Sachet, 8.5 g",,,bv313.jpg,,Nescafe,1
Bv314,Nescafe Classic Coffee 500 g,,845,,,,Beverages,Hot Drinks,Coffee,Nescafe Classic Coffee 500 g,,,bv314.jpg,,Nescafe,1
Bv315,"Nescafe Gold Coffee Jar, 100 g",,450,,,,Beverages,Hot Drinks,Coffee,"Nescafe Gold Coffee Jar, 100 g",,,bv315.jpg,,Nescafe,1
Bv316,"Nescafe Gold Coffee Jar, 50 g",,280,,,,Beverages,Hot Drinks,Coffee,"Nescafe Gold Coffee Jar, 50 g",,,bv316.jpg,,Nescafe,1
Bv317,Bru Instant Coffee 50 gm Pouch,,92,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee 50 gm Pouch,,,bv317.jpg,,Bru,1
Bv318,Bru Green Lable Roast & Ground 200gm Pouch,,65,,,,Beverages,Hot Drinks,Coffee,Bru Green Lable Roast & Ground 200gm Pouch,,,bv318.jpg,,Bru,1
Bv319,Tata Bean Coffee Chicory Blend 500 gm Pouch,,155,,,,Beverages,Hot Drinks,Coffee,Tata Bean Coffee Chicory Blend 500 gm Pouch,,,bv319.jpg,,TATA,1
Bv320,Leo Coffee Roasted & Ground 200 gm Pouch,,72,,,,Beverages,Hot Drinks,Coffee,Leo Coffee Roasted & Ground 200 gm Pouch,,,bv320.jpg,,Leo,1
Bv321,Bru Green Lable 500gm Pouch,,165,,,,Beverages,Hot Drinks,Coffee,Bru Green Lable 500gm Pouch,,,bv321.jpg,,Bru,1
Bv322,Leo Madras Blend Roast Ground Coffee Blended With Chicory 200 gm Pouch,,82,,,,Beverages,Hot Drinks,Coffee,Leo Madras Blend Roast Ground Coffee Blended With Chicory 200 gm Pouch,,,bv322.jpg,,Leo,1
Bv323,Bru Instant Coffee 200 gm Pouch ,,325,,,,Beverages,Hot Drinks,Coffee,Bru Instant Coffee 200 gm Pouch ,,,bv323.jpg,,Bru,1
Bv324,Tata Mr. Bean Coffee Chicory Blend 200 gm Pouch,,69,,,,Beverages,Hot Drinks,Coffee,Tata Mr. Bean Coffee Chicory Blend 200 gm Pouch,,,bv324.jpg,,TATA,1
Bv325,Nescafe Coffee Sunrise Premium 500 gm Pouch,,660,,,,Beverages,Hot Drinks,Coffee,Nescafe Coffee Sunrise Premium 500 gm Pouch,,,bv325.jpg,,Nescafe,1
Bv326,Nescafe Coffee Sunrise Premium 200 gm Pouch,,325,,,,Beverages,Hot Drinks,Coffee,Nescafe Coffee Sunrise Premium 200 gm Pouch,,,bv326.jpg,,Nescafe,1
Bv327,Nescafe Coffee Sunrise Premium 50 gm Pouch,,90,,,,Beverages,Hot Drinks,Coffee,Nescafe Coffee Sunrise Premium 50 gm Pouch,,,bv327.jpg,,Nescafe,1
Bv328,Nescafe Coffee Sunrise Premium 50 gm Jar,,100,,,,Beverages,Hot Drinks,Coffee,Nescafe Coffee Sunrise Premium 50 gm Jar,,,bv328.jpg,,Nescafe,1
Bv329,Leo Coffee Rosted & Ground 200 gm Pouch,,72,,,,Beverages,Hot Drinks,Coffee,Leo Coffee Rosted & Ground 200 gm Pouch,,,bv329.jpg,,Nescafe,1
Bv330,Nescafe Choco Mocha 75 gm Carton,,100,,,,Beverages,Hot Drinks,Coffee,Nescafe Choco Mocha 75 gm Carton,,,bv330.jpg,,Nescafe,1
Bv331,Nescafe Coffee Sunrise Strong 50 gm Pouch,,75,,,,Beverages,Hot Drinks,Coffee,Nescafe Coffee Sunrise Strong 50 gm Pouch,,,bv331.jpg,,Nescafe,1
Bv332,Nescafe Cappuccino 75 gm Carton,,100,,,,Beverages,Hot Drinks,Coffee,Nescafe Cappuccino 75 gm Carton,,,bv332.jpg,,Nescafe,1
Bv333,Nescafe Gold Coffee Decaffeinated 100 gm Bottle,,600,,,,Beverages,Hot Drinks,Coffee,Nescafe Gold Coffee Decaffeinated 100 gm Bottle,,,bv333.jpg,,Nescafe,1
Bv334,3 Roses Tea 100 g,,46,,,,Beverages,Hot Drinks,Tea,3 Roses Tea 100 g,,,bv334.jpg,,3 Roses,1
Bv335,3 Roses Tea 245 g,,114,,,,Beverages,Hot Drinks,Tea,3 Roses Tea 245 g,,,bv335.jpg,,3 Roses,1
Bv336,3 Roses Tea 500 g,,205,,,,Beverages,Hot Drinks,Tea,3 Roses Tea 500 g,,,bv336.jpg,,3 Roses,1
Bv337,3 Roses Tea Pack Of 2 X 500 g,,382,,,,Beverages,Hot Drinks,Tea,3 Roses Tea Pack Of 2 X 500 g,,,bv337.jpg,,3 Roses,1
Bv338,"Aveon Coffee Premium, 200 g",,295,,,,Beverages,Hot Drinks,Tea,"Aveon Coffee Premium, 200 g",,,bv338.jpg,,Aveon,1
Bv339,"Aveon Coffee Royale, 100 g",,243,,,,Beverages,Hot Drinks,Tea,"Aveon Coffee Royale, 100 g",,,bv339.jpg,,Aveon,1
