product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PeC481,"Close Up Diamond Attraction Power White, 50 g",,45,,,,Personal Care,Oral Care,Tooth Paste,"Close Up Diamond Attraction Power White, 50 g",,,p481.jpg,,Close Up,1
PeC482,"Colgate Toothpaste Visible White & Shine, 100 g",,99,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Visible White & Shine, 100 g",,,p482.jpg,,Colgate,1
PeC483,"Sensodyne Toothpaste, 150 g",,150,,,,Personal Care,Oral Care,Tooth Paste,"Sensodyne Toothpaste, 150 g",,,p483.jpg,,Sensodyne,1
PeC484,"Close Up Toothpaste Red, 40 g",,17,,,,Personal Care,Oral Care,Tooth Paste,"Close Up Toothpaste Red, 40 g",,,p484.jpg,,Close Up,1
PeC485,"Close Up Toothpaste Red, Pack Of 12 U X 15 g",,60,,,,Personal Care,Oral Care,Tooth Paste,"Close Up Toothpaste Red, Pack Of 12 U X 15 g",,,p485.jpg,,Close Up,1
PeC486,"Pepsodent-G Toothpaste Gum Care, 150 g",,94,,,,Personal Care,Oral Care,Tooth Paste,"Pepsodent-G Toothpaste Gum Care, 150 g",,,p486.jpg,,Pepsodent,1
PeC487,Promise Tooth Paste Anti Cavity 170gm,,72,,,,Personal Care,Oral Care,Tooth Paste,Promise Tooth Paste Anti Cavity 170gm,,,p487.jpg,,Promise,1
PeC488,Pathanjali Dant Kanti Regular Dental Tooth Paste,,35,,,,Personal Care,Oral Care,Tooth Paste,Pathanjali Dant Kanti Regular Dental  Tooth Paste,,,p488.jpg,,Patanjali,1
PeC489,Vicco Vajradanti Ayurvedic Medicine ,,122,,,,Personal Care,Oral Care,Tooth Paste,Vicco Vajradanti Ayurvedic Medicine ,,,p489.jpg,,Vicco,1
PeC490,"Oral B Tooth Brush Super Thin, Buy 2 Get 1 Free",,100,,,,Personal Care,Oral Care,Tooth Brush,"Oral B Tooth Brush Super Thin, Buy 2 Get 1 Free",,,p490.jpg,,Oral B,1
PeC491,"Oral B Tooth Brush Gum Care 720, Buy 2 Get 1 Free",,158,,,,Personal Care,Oral Care,Tooth Brush,"Oral B Tooth Brush Gum Care 720, Buy 2 Get 1 Free",,,p491.jpg,,Oral B,1
PeC492,"Colgate Tooth Brush Charcoal Twin Pack, Slim Soft",,110,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Tooth Brush Charcoal Twin Pack, Slim Soft",,,p492.jpg,,Colgate,1
PeC493,"Colgate Toothbrush 360 Degree, Base",,65,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush 360 Degree, Base",,,p493.jpg,,Colgate,1
PeC494,"Colgate Toothbrush Kids, 0-2 years",,25,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Kids, 0-2 years",,,p494.jpg,,Colgate,1
PeC495,"Ajay Toothbrush Complete Premium, Pack Of 12 U",,216,,,,Personal Care,Oral Care,Tooth Brush,"Ajay Toothbrush Complete Premium, Pack Of 12 U",,,p495.jpg,,Ajay,1
PeC496,"Colgate Toothbrush Super Shine, Pack Of 12 U",,240,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Super Shine, Pack Of 12 U",,,p496.jpg,,Colgate,1
PeC497,"Pepsodent Toothbrush Triple Clean Soft , Pack Of 12 U",,180,,,,Personal Care,Oral Care,Tooth Brush,"Pepsodent Toothbrush Triple Clean Soft , Pack Of 12 U",,,p497.jpg,,Pepsodent,1
PeC498,"Sensodyne Toothbrush Buy 2 get 1 FREE, Sensitive",,100,,,,Personal Care,Oral Care,Tooth Brush,"Sensodyne Toothbrush Buy 2 get 1 FREE, Sensitive",,,p498.jpg,,Sensodyne,1
PeC499,"Ajay Toothbrush Sensitive, Pack Of 6 U",,210,,,,Personal Care,Oral Care,Tooth Brush,"Ajay Toothbrush Sensitive, Pack Of 6 U",,,p499.jpg,,Ajay,1
PeC500,"Ajay Toothbrush Quest, Soft",,22,,,,Personal Care,Oral Care,Tooth Brush,"Ajay Toothbrush Quest, Soft",,,p500.jpg,,Ajay,1
PeC501,"Colgate Toothbrush Sensitive, Buy 2 get 1 Free",,90,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Sensitive, Buy 2 get 1 Free",,,p501.jpg,,Colgate,1
PeC502,"Oral B Tooth Brush Whitening, Buy 2 Get 1 Free",,80,,,,Personal Care,Oral Care,Tooth Brush,"Oral B Tooth Brush Whitening, Buy 2 Get 1 Free",,,p502.jpg,,Oral B,1
PeC503,Sensodyne Toothbrush Sensitive,,50,,,,Personal Care,Oral Care,Tooth Brush,Sensodyne Toothbrush Sensitive,,,p503.jpg,,Sensodyne,1
PeC504,"Colgate Toothbrush Super Flexi, Twin Pack Of 6",,162,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Super Flexi, Twin Pack Of 6",,,p504.jpg,,Colgate,1
PeC505,"Colgate Toothbrush Zig Zag, Buy 2, Get 1 Free",,50,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Zig Zag, Buy 2, Get 1 Free",,,p505.jpg,,Colgate,1
PeC506,"Colgate Toothbrush Zig Zag, Twin Pack Of 6 U",,222,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Zig Zag, Twin Pack Of 6 U",,,p506.jpg,,Colgate,1
PeC507,"Colgate Kids Toothbrush 2+ Years, Gentle Soft, Pack Of 6 U",,108,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Kids Toothbrush 2+ Years, Gentle Soft, Pack Of 6 U",,,p507.jpg,,Colgate,1
PeC508,"Oral B Toothbrush Cross Action Medium, Pack Of 6 U",,414,,,,Personal Care,Oral Care,Tooth Brush,"Oral B Toothbrush Cross Action Medium, Pack Of 6 U",,,p508.jpg,,Oral B,1
PeC509,"Oral B Toothbrush Shiny Clean, Pack Of 12 U",,192,,,,Personal Care,Oral Care,Tooth Brush,"Oral B Toothbrush Shiny Clean, Pack Of 12 U",,,p509.jpg,,Oral B,1
PeC510,"Oral B Toothbrush 123, Tooth Brush Medium, Pack Of 6 U",,144,,,,Personal Care,Oral Care,Tooth Brush,"Oral B Toothbrush 123, Tooth Brush Medium, Pack Of 6 U",,,p510.jpg,,Oral B,1
PeC511,"Colgate Toothbrush Super Flexi, Pack Of 12 U",,192,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Super Flexi, Pack Of 12 U",,,p511.jpg,,Colgate,1
PeC512,"Colgate Toothbrush Extra Clean, Pack Of 12 U",,216,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Extra Clean, Pack Of 12 U",,,p512.jpg,,Colgate,1
PeC513,"Colgate Toothbrush Zig Zag, Pack Of 6 U",,150,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Zig Zag, Pack Of 6 U",,,p513.jpg,,Colgate,1
PeC514,"Colgate Toothbrush Sensitive, Pack Of 6 U",,270,,,,Personal Care,Oral Care,Tooth Brush,"Colgate Toothbrush Sensitive, Pack Of 6 U",,,p514.jpg,,Colgate,1
PeC515,"Pepsodent Fighter Toothbrush, Pack Of 12 U",,204,,,,Personal Care,Oral Care,Tooth Brush,"Pepsodent Fighter Toothbrush, Pack Of 12 U",,,p515.jpg,,Pepsodent,1
PeC516,Trisa Tongue Cleaner 1 Nos Pouch,,249,,,,Personal Care,Oral Care,Tooth Brush,Trisa Tongue Cleaner 1 Nos Pouch,,,p516.jpg,,Trisa,1
PeC517,Chicco extra Soft Tooth Brush Pink,,229,,,,Personal Care,Oral Care,Tooth Brush,Chicco extra Soft Tooth Brush Pink,,,p517.jpg,,Chicco,1
PeC518,Johnson &Johnson Baby Tooth Brush 1pc,,30,,,,Personal Care,Oral Care,Tooth Brush,Johnson &Johnson Baby Tooth Brush 1pc,,,p518.jpg,,Johnson & Johnsons,1
PeC519,Vivel Mixed Fruit & Cream Soap Pack of 3 X 100 g,,70,,,,Personal Care,Hand & Body Wash,Body Wash,Vivel Mixed Fruit & Cream Soap Pack of 3 X 100 g,,,p519.jpg,,Vivel,1
