product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PF497,"Kelloggs Chocos Moon And Stars, 700 g",,260,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Chocos Moon And Stars, 700 g",,,pf1.jpg,, Kelloggs,1
PF498,Kelloggs Chocos Nano 13 g,,5,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Nano 13 g,,,pf2.jpg,, Kelloggs,1
PF499,"Kelloggs Chocos Smack, 27 g",,10,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Chocos Smack, 27 g",,,pf3.jpg,, Kelloggs,1
PF500,Kelloggs Cornflakes 250 g,,93,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Cornflakes 250 g,,,pf4.jpg,, Kelloggs,1
PF501,Kelloggs Cornflakes 475 g,,159,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Cornflakes 475 g,,,pf5.jpg,, Kelloggs,1
PF502,"Kelloggs Cornflakes All Bran Wheat flakes, 425 g",,179,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes All Bran Wheat flakes, 425 g",,,pf6.jpg,, Kelloggs,1
PF503,"Kelloggs Cornflakes Almond, 300 g",,153,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Almond, 300 g",,,pf7.jpg,, Kelloggs,1
PF504,"Kelloggs Cornflakes Almond, 650 g",,29,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Almond, 650 g",,,pf8.jpg,, Kelloggs,1
PF505,"Kelloggs Cornflakes Chocos Duet, Pack Of 12 X 27 g",,120,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos Duet, Pack Of 12 X 27 g",,,pf9.jpg,, Kelloggs,1
PF506,"Kelloggs Cornflakes Chocos Family Pack, 700 g",,259,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos Family Pack, 700 g",,,pf10.jpg,, Kelloggs,1
PF507,"Kelloggs Cornflakes Chocos Moon star, Pack Of 12 X 27 g",,120,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos Moon star, Pack Of 12 X 27 g",,,pf11.jpg,, Kelloggs,1
PF508,"Kelloggs Cornflakes Chocos Smack, 390 g",,154,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos Smack, 390 g",,,pf12.jpg,, Kelloggs,1
PF509,"Kelloggs Cornflakes Chocos Variety, 135 g",,50,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos Variety, 135 g",,,pf13.jpg,, Kelloggs,1
PF510,"Kelloggs Cornflakes Chocos, 150 g",,53,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos, 150 g",,,pf14.jpg,, Kelloggs,1
PF511,"Kelloggs Cornflakes Chocos, 375 g",,150,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos, 375 g",,,pf15.jpg,, Kelloggs,1
PF512,"Kelloggs Cornflakes Chocos, Pack Of 12 X 27 g",,120,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Chocos, Pack Of 12 X 27 g",,,pf16.jpg,, Kelloggs,1
PF513,"Kelloggs Cornflakes Honey, 630 g",,245,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Honey, 630 g",,,pf17.jpg,, Kelloggs,1
PF514,"Kelloggs Cornflakes Mango, 300 g",,126,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Mango, 300 g",,,pf18.jpg,, Kelloggs,1
PF515,"Kelloggs Cornflakes Original, 875 g",,265,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Original, 875 g",,,pf19.jpg,, Kelloggs,1
PF516,"Kelloggs Cornflakes Special K, 435 g",,174,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Special K, 435 g",,,pf20.jpg,, Kelloggs,1
PF517,"Kelloggs Cornflakes Special K, 900 g",,362,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Special K, 900 g",,,pf21.jpg,, Kelloggs,1
PF518,"Kelloggs Cornflakes Strawberry, 275 g",,116,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Cornflakes Strawberry, 275 g",,,pf22.jpg,, Kelloggs,1
PF519,Kelloggs Heart To Heart Oats 1 Kg,,165,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Heart To Heart Oats 1 Kg,,,pf23.jpg,, Kelloggs,1
PF520,Kelloggs Heart To Heart Oats 500 g,,79,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Heart To Heart Oats 500 g,,,pf24.jpg,, Kelloggs,1
PF521,"Kelloggs Muesli Extra Nut Delight, 550 g",,262,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Muesli Extra Nut Delight, 550 g",,,pf25.jpg,, Kelloggs,1
PF522,"Kelloggs Oats Green Pudina, 26 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Oats Green Pudina, 26 g",,,pf26.jpg,, Kelloggs,1
PF523,"Kelloggs Oats Tomato Salsa, 26 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Kelloggs Oats Tomato Salsa, 26 g",,,pf27.jpg,, Kelloggs,1
PF524,"Quaker Flavoured Oats Homestyle, 28 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Quaker Flavoured Oats Homestyle, 28 g",,,pf28.jpg,,Quaker,1
PF525,"Quaker Oats Regular Refill, 1 Kg",,165,,,,Packaged Foods,Dry Foods,Cereals,"Quaker Oats Regular Refill, 1 Kg",,,pf29.jpg,,Quaker,1
PF526,"Quaker Oats Regular, 200 g",,41,,,,Packaged Foods,Dry Foods,Cereals,"Quaker Oats Regular, 200 g",,,pf30.jpg,,Quaker,1
PF527,"Quaker Oats Regular, 400 g",,68,,,,Packaged Foods,Dry Foods,Cereals,"Quaker Oats Regular, 400 g",,,pf31.jpg,,Quaker,1
PF528,"Saffola Fruit And Nut Oats Cranberry Magic, 40 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Fruit And Nut Oats Cranberry Magic, 40 g",,,pf32.jpg,,Saffola,1
PF529,"Saffola Fruit And Nut Oats Strawberry Surprise, 40 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Fruit And Nut Oats Strawberry Surprise, 40 g",,,pf33.jpg,,Saffola,1
PF530,"Saffola Muesli Nutty Crunch, 400 g",,199,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Muesli Nutty Crunch, 400 g",,,pf34.jpg,,Saffola,1
PF531,Saffola Oats 1 Kg,,165,,,,Packaged Foods,Dry Foods,Cereals,Saffola Oats 1 Kg,,,pf35.jpg,,Saffola,1
PF532,Saffola Oats 400 g,,68,,,,Packaged Foods,Dry Foods,Cereals,Saffola Oats 400 g,,,pf36.jpg,,Saffola,1
PF533,"Saffola Oats Masala Coriander, 400 g",,130,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Oats Masala Coriander, 400 g",,,pf37.jpg,,Saffola,1
PF534,"Saffola Oats Masala Coriander, 43 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Oats Masala Coriander, 43 g",,,pf38.jpg,,Saffola,1
PF535,"Saffola Oats Masala Veggie Twist, 400 g",,135,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Oats Masala Veggie Twist, 400 g",,,pf39.jpg,,Saffola,1
PF536,"Saffola Oats Masala Veggie Twist, 43 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Oats Masala Veggie Twist, 43 g",,,pf40.jpg,,Saffola,1
PF537,"Saffola Oats Pepper Spice, 42 g",,15,,,,Packaged Foods,Dry Foods,Cereals,"Saffola Oats Pepper Spice, 42 g",,,pf41.jpg,,Saffola,1
PF538,Kelloggs Chocos Moons and Stars 350 gm Carton,,156,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Moons and Stars 350 gm Carton,,,pf42.jpg,,Kelloggs,1
PF539,Kelloggs Corn Flakes Original & The Best 875 gm Pouch,,276,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Corn Flakes Original & The Best 875 gm Pouch,,,pf43.jpg,,Kelloggs,1
PF540,Kelloggs Chocos Moons and Stars 27 gms,,10,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Moons and Stars 27 gms,,,pf44.jpg,,Kelloggs,1
PF541,Kelloggs Chocos 1.2 kg Pouch,,410,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos 1.2 kg Pouch,,,pf45.jpg,,Kelloggs,1
PF542,Kelloggs Chocos Chocolaty Breakfast 700 gm Carton,,257,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Chocolaty Breakfast 700 gm Carton,,,pf46.jpg,,Kelloggs,1
PF543,Kelloggs Chocos Chocolaty Breakfast 125 gm Carton,,53,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Chocolaty Breakfast 125 gm Carton,,,pf47.jpg,,Kelloggs,1
PF544,Kelloggs Chocos Chocolaty Breakfast 250 gm Carton,,106,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Chocolaty Breakfast 250 gm Carton,,,pf48.jpg,,Kelloggs,1
PF545,Kelloggs Chocos Chocolaty Breakfast 375 gm Carton,,153,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Chocos Chocolaty Breakfast 375 gm Carton,,,pf49.jpg,,Kelloggs,1
PF546,Kelloggs Extra Muesli Fruit Magic 550 gm Carton,,262,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Extra Muesli Fruit Magic 550 gm Carton,,,pf50.jpg,,Kelloggs,1
PF547,Kelloggs Extra Muesli Fruit Magic 275 gm Carton,,137,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Extra Muesli Fruit Magic 275 gm Carton,,,pf51.jpg,,Kelloggs,1
PF548,Kelloggs Heart to Heart Oats Green Pudina 26 gm Pouch,,15,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Heart to Heart Oats Green Pudina 26 gm Pouch,,,pf52.jpg,,Kelloggs,1
PF549,Kelloggs Special K 140 gm Carton,,62,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Special K 140 gm Carton,,,pf53.jpg,,Kelloggs,1
PF550,Kelloggs Special K 290 gm Carton,,122,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Special K 290 gm Carton,,,pf54.jpg,,Kelloggs,1
PF551,Kelloggs Corn Flakes With Real Honey 125 gm Carton,,51,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Corn Flakes With Real Honey 125 gm Carton,,,pf55.jpg,,Kelloggs,1
PF552,Kelloggs Corn Flakes With Real Honey 300 gm Carton,,126,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Corn Flakes With Real Honey 300 gm Carton,,,pf56.jpg,,Kelloggs,1
PF553,Kelloggs Corn Flakes with Real Banana 300 gm Carton,,126,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Corn Flakes with Real Banana 300 gm Carton,,,pf57.jpg,,Kelloggs,1
PF554,Kelloggs Corn Flakes Real Strawberry 27 gm Pouch,,10,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Corn Flakes Real Strawberry 27 gm Pouch,,,pf58.jpg,,Kelloggs,1
PF555,Kelloggs Honey Loops Yummy Crunchy 300 gm Carton,,119,,,,Packaged Foods,Dry Foods,Cereals,Kelloggs Honey Loops Yummy Crunchy 300 gm Carton,,,pf59.jpg,,Kelloggs,1
