product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,product_description,Brand,status
Bv395,"Taj Mahal Tea Bags Ginger, Pack of 25 Sachets",,130,,,,Beverages,Hot Drinks,Tea,"Taj Mahal Tea Bags Ginger, Pack of 25 Sachets",,,bv395.jpg,,Taj Mahal,1
Bv396,"Taj Mahal Tea Bags Masala, Pack Of 25 Sachets",,130,,,,Beverages,Hot Drinks,Tea,"Taj Mahal Tea Bags Masala, Pack Of 25 Sachets",,,bv396.jpg,,Taj Mahal,1
Bv397,Taj Mahal Tea Bags Pack Of 100 Sachets,,130,,,,Beverages,Hot Drinks,Tea,Taj Mahal Tea Bags Pack Of 100 Sachets,,,bv397.jpg,,Taj Mahal,1
Bv398,Taj Mahal Tea Bags Pack Of 25 Sachets,,40,,,,Beverages,Hot Drinks,Tea,Taj Mahal Tea Bags Pack Of 25 Sachets,,,bv398.jpg,,Taj Mahal,1
Bv399,Taj Mahal Tea Pack Of 120 X 100g,,5400,,,,Beverages,Hot Drinks,Tea,Taj Mahal Tea Pack Of 120 X 100g,,,bv399.jpg,,Taj Mahal,1
Bv400,Taj Mahal Tea Pack Of 48 X 245 g,,5760,,,,Beverages,Hot Drinks,Tea,Taj Mahal Tea Pack Of 48 X 245 g,,,bv400.jpg,,Taj Mahal,1
