product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
Bv001,"7Up Large Pet, 2.25 L",,80,,,,Beverages,Carbonated Soft Drinks,,"7Up Large Pet, 2.25 L",,,bv1.jpg,,7 UP,1
Bv002,"7Up Large Pet, Case Pack Of 9 X 2.25 L",,720,,,,Beverages,Carbonated Soft Drinks,,"7Up Large Pet, Case Pack Of 9 X 2.25 L",,,bv2.jpg,,7 UP,1
Bv003,"7Up Mobile Pet, Case Pack Of 24 X 600 ml",,720,,,,Beverages,Carbonated Soft Drinks,,"7Up Mobile Pet, Case Pack Of 24 X 600 ml",,,bv3.jpg,,7 UP,1
Bv004,"7Up Slim Can, Case Pack Of 24 X 250 ml",,600,,,,Beverages,Carbonated Soft Drinks,,"7Up Slim Can, Case Pack Of 24 X 250 ml",,,bv4.jpg,,7 UP,1
Bv005,Coke 1.25 L,,55,,,,Beverages,Carbonated Soft Drinks,,Coke 1.25 L,,,bv5.jpg,,Coke,1
Bv006,Coke 2.25 L,,80,,,,Beverages,Carbonated Soft Drinks,,Coke 2.25 L,,,bv6.jpg,,Coke,1
Bv007,Coca Cola 1.75 Ltr,,55,,,,Beverages,Carbonated Soft Drinks,,Coca Cola 1.75 Ltr,,,bv7.jpg,,Coca Cola,1
Bv008,Coca Cola 600 ml Bottle ,,38,,,,Beverages,Carbonated Soft Drinks,,Coca Cola 600 ml Bottle ,,,bv8.jpg,,Coca Cola,1
Bv009,Coca Cola 330 ml Can,,35,,,,Beverages,Carbonated Soft Drinks,,Coca Cola 330 ml Can,,,bv9.jpg,,Coca Cola,1
Bv010,Kinley Mineral Water 2 Ltr Bottle,,30,,,,Beverages,Carbonated Soft Drinks,,Kinley Mineral Water 2 Ltr Bottle,,,bv10.jpg,,Kinley,1
Bv011,Kinley Mineral Water 1 Ltr Bottle,,20,,,,Beverages,Carbonated Soft Drinks,,Kinley Mineral Water 1 Ltr Bottle,,,bv11.jpg,,Kinley,1
Bv012,Kinley Mineral Water 500 ml Bottle,,10,,,,Beverages,Carbonated Soft Drinks,,Kinley Mineral Water 500 ml Bottle,,,bv12.jpg,,Kinley,1
Bv013,Coke Pack Of 24 X 330 ml,,840,,,,Beverages,Carbonated Soft Drinks,,Coke Pack Of 24 X 330 ml,,,bv13.jpg,,Coke,1
Bv014,Coke Pack Of 9 x 2.25 L,,630,,,,Beverages,Carbonated Soft Drinks,,Coke Pack Of 9 x 2.25 L,,,bv14.jpg,,Coke,1
Bv015,Coke Zero Pack Of 24 X 330 ml,,600,,,,Beverages,Carbonated Soft Drinks,,Coke Zero Pack Of 24 X 330 ml,,,bv15.jpg,,Coke,1
Bv016,Diet Coke Pack Of 24 X 330 ml,,840,,,,Beverages,Carbonated Soft Drinks,,Diet Coke Pack Of 24 X 330 ml,,,bv16.jpg,,Diet Coke,1
Bv017,"Diet Pepsi Mobile Pet, Case Pack Of 24 X 600 ml",,840,,,,Beverages,Carbonated Soft Drinks,,"Diet Pepsi Mobile Pet, Case Pack Of 24 X 600 ml",,,bv17.jpg,,Diet Pepsi,1
Bv018,"Diet Pepsi Slim Can, Case Pack Of 24 X 250 ml",,600,,,,Beverages,Carbonated Soft Drinks,,"Diet Pepsi Slim Can, Case Pack Of 24 X 250 ml",,,bv18.jpg,,Diet Pepsi,1
Bv019,Fanta 2.25 L,,80,,,,Beverages,Carbonated Soft Drinks,,Fanta 2.25 L,,,bv19.jpg,,Fanta,1
Bv020,Fanta Pack Of 24 X 750 ml,,840,,,,Beverages,Carbonated Soft Drinks,,Fanta Pack Of 24 X 750 ml,,,bv20.jpg,,Fanta,1
Bv021,Fanta Pack Of 9 x 2.25 L,,720,,,,Beverages,Carbonated Soft Drinks,,Fanta Pack Of 9 x 2.25 L,,,bv21.jpg,,Fanta,1
Bv022,Kinley Soda Pack Of 24 X 750 ml,,432,,,,Beverages,Carbonated Soft Drinks,,Kinley Soda Pack Of 24 X 750 ml,,,bv22.jpg,,Kinley,1
Bv023,"Lehar Soda Mobile Pet, Case Pack Of 24 X 600 ml",,408,,,,Beverages,Carbonated Soft Drinks,,"Lehar Soda Mobile Pet, Case Pack Of 24 X 600 ml",,,bv23.jpg,,Lehar,1
Bv024,Limca 1.25 L,,55,,,,Beverages,Carbonated Soft Drinks,,Limca 1.25 L,,,bv24.jpg,,Limca,1
Bv025,Limca Pack Of 24 X 750 ml,,912,,,,Beverages,Carbonated Soft Drinks,,Limca Pack Of 24 X 750 ml,,,bv25.jpg,,Limca,1
Bv026,Limca Pack Of 9 X 2.25 L,,630,,,,Beverages,Carbonated Soft Drinks,,Limca Pack Of 9 X 2.25 L,,,bv26.jpg,,Limca,1
Bv027,"Mirinda Orange Large Pet, 2.25 L",,75,,,,Beverages,Carbonated Soft Drinks,,"Mirinda Orange Large Pet, 2.25 L",,,bv27.jpg,,Mirinda,1
Bv028,"Mirinda Orange Large Pet, Case Pack Of 9 X 2.25 L",,720,,,,Beverages,Carbonated Soft Drinks,,"Mirinda Orange Large Pet, Case Pack Of 9 X 2.25 L",,,bv28.jpg,,Mirinda,1
Bv029,"Mirinda Orange Mobile Pet, Case Pack Of 24 X 600 ml",,720,,,,Beverages,Carbonated Soft Drinks,,"Mirinda Orange Mobile Pet, Case Pack Of 24 X 600 ml",,,bv29.jpg,,Mirinda,1
Bv030,"Mirinda Orange Slim Can, Case Pack Of 24 X 250 ml",,600,,,,Beverages,Carbonated Soft Drinks,,"Mirinda Orange Slim Can, Case Pack Of 24 X 250 ml",,,bv30.jpg,,Mirinda,1
Bv031,Mirinda Soft Drink Orange Flavour 1.5 Ltr Bottle,,65,,,,Beverages,Carbonated Soft Drinks,,Mirinda Soft Drink Orange Flavour 1.5 Ltr Bottle,,,bv31.jpg,,Mirinda,1
Bv032,Mirinda Soft Drink Orange Flavour 1 Ltr Bottle,,40,,,,Beverages,Carbonated Soft Drinks,,Mirinda Soft Drink Orange Flavour 1 Ltr Bottle,,,bv32.jpg,,Mirinda,1
Bv033,Limca Soft Drink Lemon Flavour 600ml Bottle,,38,,,,Beverages,Carbonated Soft Drinks,,Limca Soft Drink Lemon Flavour 600ml Bottle,,,bv33.jpg,,Limca,1
Bv034,Mirinda Soft Drink Orange Flavour 250 ml Can,,25,,,,Beverages,Carbonated Soft Drinks,,Mirinda Soft Drink Orange Flavour 250 ml Can,,,bv34.jpg,,Mirinda,1
Bv035,"Mountain Dew Mobile Pet, Case Pack Of 24 X 600 ml",,864,,,,Beverages,Carbonated Soft Drinks,,"Mountain Dew Mobile Pet, Case Pack Of 24 X 600 ml",,,bv35.jpg,,Mountain,1
Bv036,"Pepsi Large Pet, 2.25 L",,80,,,,Beverages,Carbonated Soft Drinks,,"Pepsi Large Pet, 2.25 L",,,bv36.jpg,,Pepsi,1
Bv037,Pepsi Soft Drink 1.5 Ltr,,65,,,,Beverages,Carbonated Soft Drinks,,Pepsi Soft Drink 1.5 Ltr,,,bv37.jpg,,Pepsi,1
Bv038,Pepsi  1 Ltr,,40,,,,Beverages,Carbonated Soft Drinks,,Pepsi  1 Ltr,,,bv38.jpg,,Pepsi,1
Bv039,Pepsi 600 ml,,36,,,,Beverages,Carbonated Soft Drinks,,Pepsi 600 ml,,,bv39.jpg,,Pepsi,1
Bv040,Pepsi 250 ml Can,,25,,,,Beverages,Carbonated Soft Drinks,,Pepsi 250 ml Can,,,bv40.jpg,,Pepsi,1
Bv041,"Pepsi Large Pet, Case Pack Of 9 X 2.25 L",,720,,,,Beverages,Carbonated Soft Drinks,,"Pepsi Large Pet, Case Pack Of 9 X 2.25 L",,,bv41.jpg,,Pepsi,1
