product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PF252,"Priya Pickle Mango With Garlic, 300 g",,62,,,,Packaged Foods,Processed Food,Pickles,"Priya Pickle Mango With Garlic, 300 g",,,pf600.jpg,,Priya,1
PF253,"Priya Pickle Tomato With Garlic, 500 g",,105,,,,Packaged Foods,Processed Food,Pickles,"Priya Pickle Tomato With Garlic, 500 g",,,pf601.jpg,,Priya,1
PF254,"Priya Pickle Tomato With Garlic, 300 g",,62,,,,Packaged Foods,Processed Food,Pickles,"Priya Pickle Tomato With Garlic, 300 g",,,pf602.jpg,,Priya,1
PF255,"Priya Pickle Mango Avakaya Garlic, 1 Kg",,200,,,,Packaged Foods,Processed Food,Pickles,"Priya Pickle Mango Avakaya Garlic, 1 Kg",,,pf603.jpg,,Priya,1
PF256,"Priya Pickle Ginger With Garlic, 500 g",,105,,,,Packaged Foods,Processed Food,Pickles,"Priya Pickle Ginger With Garlic, 500 g",,,pf604.jpg,,Priya,1
PF257,"Priya Pickle Ginger Garlic, 300 g",,62,,,,Packaged Foods,Processed Food,Pickles,"Priya Pickle Ginger Garlic, 300 g",,,pf605.jpg,,Priya,1
PF258,"Surabhi Pickle Lime, 100 g",,115,,,,Packaged Foods,Processed Food,Pickles,"Surabhi Pickle Lime, 100 g",,,pf606.jpg,,Surabhi,1
PF259,"Surabhi Pickle Chilli, 1 Kg",,110,,,,Packaged Foods,Processed Food,Pickles,"Surabhi Pickle Chilli, 1 Kg",,,pf607.jpg,,Surabhi,1
PF260,"Surabhi Pickle Mixed, 1 Kg",,115,,,,Packaged Foods,Processed Food,Pickles,"Surabhi Pickle Mixed, 1 Kg",,,pf608.jpg,,Surabhi,1
PF261,"Surabhi Pickle Mango, 1 Kg",,115,,,,Packaged Foods,Processed Food,Pickles,"Surabhi Pickle Mango, 1 Kg",,,pf609.jpg,,Surabhi,1
PF262,"Surabhi Pickle Lime, 350 g",,42,,,,Packaged Foods,Processed Food,Pickles,"Surabhi Pickle Lime, 350 g",,,pf610.jpg,,Surabhi,1
PF263,"Surabhi Pickle Chilli, 350 g",,42,,,,Packaged Foods,Processed Food,Pickles,"Surabhi Pickle Chilli, 350 g",,,pf611.jpg,,Surabhi,1
