product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
bv455,Twinings Green Tea & Lemon 10 Tea Bags,,120,,,,Beverages,Hot Drinks,Tea,Twinings Green Tea & Lemon 10 Tea Bags,,,bv455.jpg,,Twinings,1
bv456,Twingings Tea Bags Earl Grey 100 Nos Carton,,770,,,,Beverages,Hot Drinks,Tea,Twingings Tea Bags Earl Grey 100 Nos Carton,,,bv456.jpg,,Twinings,1
bv457,Twinings Tea Bags Pure Camomile 25 Nos Carton,,270,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Pure Camomile 25 Nos Carton,,,bv457.jpg,,Twinings,1
bv458,Twinings Tea Bags English Breakfast 100 Nos Carton,,600,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags English Breakfast 100 Nos Carton,,,bv458.jpg,,Twinings,1
bv459,Twinings Tea Bags English Breakfast 25 Nos Carton,,250,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags English Breakfast 25 Nos Carton,,,bv459.jpg,,Twinings,1
bv460,Twinings Tea Bags Lady Grey Tea 25 Nos Carton,,270,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Lady Grey Tea 25 Nos Carton,,,bv460.jpg,,Twinings,1
bv461,Twinings Tea Bags Revive & Revitalise Pure Peppermint 25 Nos Carton,,270,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Revive & Revitalise Pure Peppermint 25 Nos Carton,,,bv461.jpg,,Twinings,1
bv462,Twinings Green Tea & Mint 25 Tea Bags,,270,,,,Beverages,Hot Drinks,Tea,Twinings Green Tea & Mint 25 Tea Bags,,,bv462.jpg,,Twinings,1
bv463,Twinings Tea Bags Lasmine Green 25 Nos Carton,,270,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Lasmine Green 25 Nos Carton,,,bv463.jpg,,Twinings,1
bv464,Twinings Tea Bags Pure Camomile 25 NosCarton ,,270,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Pure Camomile 25 NosCarton ,,,bv464.jpg,,Twinings,1
bv465,Twinings Tea Bags Darjeeling 100 Nos Carton,,700,,,,Beverages,Hot Drinks,Tea,Twinings Tea Bags Darjeeling 100 Nos Carton,,,bv465.jpg,,Twinings,1
bv466,Twinings Green Tea Bags 100 Nos Carton,,800,,,,Beverages,Hot Drinks,Tea,Twinings Green Tea Bags 100 Nos Carton,,,bv466.jpg,,Twinings,1
bv467,Twinings Green Tea Bags 25  Nos Carton,,270,,,,Beverages,Hot Drinks,Tea,Twinings Green Tea Bags 25  Nos Carton,,,bv467.jpg,,Twinings,1
